w_cont,w_ref,threshold,n,tp,fp,fn,tn,precision,recall,f1
0.0,1.0,0.9500000000000001,14328,8671,5639,4,14,0.6059399021663172,0.9995389048991354,0.7544920600391559
0.1,0.9,0.1,14328,5275,3139,3400,2514,0.6269313049679106,0.6080691642651297,0.6173561940429516
0.1,0.9,0.15000000000000002,14328,6160,3639,2515,2014,0.6286355750586795,0.7100864553314121,0.6668831871819856
0.1,0.9,0.2,14328,6417,3971,2258,1682,0.6177319984597612,0.7397118155619596,0.6732413576037349
0.1,0.9,0.25,14328,6581,4164,2094,1489,0.6124709167054444,0.7586167146974063,0.6777548918640578
0.1,0.9,0.30000000000000004,14328,6688,4328,1987,1325,0.6071169208424111,0.7709510086455331,0.6792951094408614
0.1,0.9,0.35000000000000003,14328,6768,4386,1907,1267,0.6067778375470683,0.7801729106628242,0.6826365424378437
0.1,0.9,0.4,14328,6814,4491,1861,1162,0.6027421494913755,0.7854755043227666,0.6820820820820822
0.1,0.9,0.45,14328,6888,4659,1787,994,0.5965185762535724,0.7940057636887609,0.6812382553654437
0.1,0.9,0.5,14328,6946,4794,1729,859,0.5916524701873935,0.8006916426512968,0.6804800391868723
0.1,0.9,0.55,14328,6991,4887,1684,766,0.5885670988381883,0.8058789625360231,0.6802899819977619
0.1,0.9,0.6000000000000001,14328,7034,4961,1641,692,0.5864110045852439,0.810835734870317,0.6805999032414127
0.1,0.9,0.65,14328,7084,5006,1591,647,0.5859387923904052,0.8165994236311239,0.6823019503973031
0.1,0.9,0.7000000000000001,14328,7166,5074,1509,579,0.5854575163398693,0.8260518731988472,0.6852498207028449
0.1,0.9,0.75,14328,7274,5378,1401,275,0.5749288650015808,0.8385014409221903,0.6821400103155625
0.1,0.9,0.8,14328,7368,5493,1307,160,0.5728947982271985,0.8493371757925072,0.6842496285289746
0.1,0.9,0.8500000000000001,14328,7552,5565,1123,88,0.5757414042845163,0.8705475504322766,0.6930983847283407
0.1,0.9,0.9,14328,7704,5607,971,46,0.5787694388100068,0.8880691642651297,0.7008096061129809
0.1,0.9,0.9500000000000001,14328,8671,5636,4,17,0.6060669602292584,0.9995389048991354,0.7545905491254024
