frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
197,2,113,0.8306,0,0.5
197,1,75,0.4265,1,0.5
197,3,38,0.1048,1,0.5
198,2,113,0.8274,0,0.5
198,4,14,0.7539,0,0.5
198,1,75,0.4159,1,0.5
198,3,38,0.1465,1,0.5
199,2,113,0.8478,0,0.5
199,4,14,0.7513,0,0.5
199,1,75,0.4547,1,0.5
199,3,38,0.1595,1,0.5
200,2,113,0.8507,0,0.5
200,4,14,0.8356,0,0.5
200,1,75,0.4598,1,0.5
200,3,38,0.1792,1,0.5
201,2,113,0.8459,0,0.5
201,4,14,0.8385,0,0.5
201,1,75,0.4675,1,0.5
201,3,38,0.1872,1,0.5
202,2,113,0.8461,0,0.5
202,4,14,0.8339,0,0.5
202,1,75,0.4657,1,0.5
202,3,38,0.1872,1,0.5
203,2,113,0.8476,0,0.5
203,4,14,0.8328,0,0.5
203,1,75,0.4695,1,0.5
203,3,38,0.204,1,0.5
204,2,113,0.8453,0,0.5
204,4,14,0.7199,0,0.5
204,1,75,0.4949,1,0.5
204,3,38,0.2156,1,0.5
