block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
2,14,1825,1849,23,23,0,0.0,0,0.0,0.2417767183590719
2,38,1825,1849,25,25,0,0.0,0,0.0,0.1013312747205035
2,75,1825,1849,21,21,0,0.0,0,0.0,0.16449770455733925
2,113,1825,1849,23,23,0,0.0,0,0.0,0.13348733487211095
2,14,1850,1874,24,24,0,0.0,0,0.0,0.26540465198588953
2,38,1850,1874,24,24,0,0.0,0,0.0,0.06257218497188331
2,75,1850,1874,24,24,0,0.0,0,0.0,0.10546940523282955
2,113,1850,1874,23,23,0,0.0,0,0.0,0.19557857910605453
2,14,1875,1899,24,24,0,0.0,0,0.0,0.22662169224711282
2,38,1875,1899,21,21,0,0.0,0,0.0,0.0876263347942952
2,75,1875,1899,25,25,0,0.0,0,0.0,0.07551873264514045
2,113,1875,1899,25,25,0,0.0,0,0.0,0.18097587981177654
2,14,1900,1924,25,25,0,0.0,0,0.0,0.21790871769769385
2,38,1900,1924,25,25,0,0.0,0,0.0,0.05336226596231675
2,75,1900,1924,25,25,0,0.0,0,0.0,0.07510632953123446
2,113,1900,1924,25,25,0,0.0,0,0.0,0.21133480012349698
2,14,1925,1949,25,25,0,0.0,0,0.0,0.2303101997816992
2,38,1925,1949,24,24,0,0.0,0,0.0,0.05711847018538718
2,75,1925,1949,25,25,0,0.0,0,0.0,0.11644524080508305
2,113,1925,1949,25,25,0,0.0,0,0.0,0.16898861404240176
2,14,1950,1974,24,24,0,0.0,0,0.0,0.23198630319976118
2,38,1950,1974,16,16,0,0.0,0,0.0,0.04400399254341998
2,75,1950,1974,16,16,0,0.0,0,0.0,0.0963950803165132
2,113,1950,1974,25,25,0,0.0,0,0.0,0.08604060278695183
2,14,1975,1999,24,24,0,0.0,0,0.0,0.2270613211912135
2,38,1975,1999,17,17,0,0.0,0,0.0,0.05298292525639156
2,75,1975,1999,25,25,0,0.0,0,0.0,0.10890009088357758
2,113,1975,1999,24,24,0,0.0,0,0.0,0.07972227356252874
2,14,2000,2024,24,24,0,0.0,0,0.0,0.20822332141696842
2,38,2000,2024,24,24,0,0.0,0,0.0,0.10221869779737447
2,75,2000,2024,25,25,0,0.0,0,0.0,0.09672462282819067
2,113,2000,2024,24,24,0,0.0,0,0.0,0.13999316240552298
2,14,2025,2049,25,25,20,0.8,20,0.8,0.8410393880051452
2,38,2025,2049,24,24,0,0.0,0,0.0,0.07771924288476768
2,75,2025,2049,23,23,19,0.8260869565217391,19,0.8260869565217391,0.8507031591849896
2,113,2025,2049,16,16,12,0.75,12,0.75,0.7844017159447847
2,14,2050,2074,25,25,25,1.0,25,1.0,1.0
2,38,2050,2074,23,23,0,0.0,0,0.0,0.09525349793334215
2,75,2050,2074,24,24,24,1.0,24,1.0,1.0
2,113,2050,2074,25,25,25,1.0,25,1.0,1.0
2,14,2075,2099,25,25,25,1.0,25,1.0,1.0
2,38,2075,2099,24,24,0,0.0,0,0.0,0.08665513181833638
2,75,2075,2099,25,25,25,1.0,25,1.0,1.0
2,113,2075,2099,25,25,25,1.0,25,1.0,1.0
2,14,2100,2124,25,25,25,1.0,25,1.0,1.0
2,38,2100,2124,20,2,4,0.2,0,0.0,0.08526852492355502
2,75,2100,2124,25,25,25,1.0,25,1.0,1.0
2,113,2100,2124,25,25,25,1.0,25,1.0,1.0
2,14,2125,2149,25,25,25,1.0,25,1.0,1.0
2,38,2125,2149,25,25,0,0.0,0,0.0,0.0739108223869985
2,75,2125,2149,20,20,20,1.0,20,1.0,1.0
2,113,2125,2149,19,19,19,1.0,19,1.0,1.0
2,14,2150,2174,22,22,22,1.0,22,1.0,0.9963794586503674
2,38,2150,2174,24,24,0,0.0,0,0.0,0.07438479444401179
2,75,2150,2174,24,24,24,1.0,24,1.0,1.0
2,113,2150,2174,21,21,21,1.0,21,1.0,1.0
2,14,2175,2199,22,20,22,1.0,20,1.0,1.0
2,38,2175,2199,25,25,0,0.0,0,0.0,0.06704410643641939
2,75,2175,2199,24,24,24,1.0,24,1.0,1.0
2,113,2175,2199,24,12,24,1.0,12,1.0,1.0
2,14,2200,2224,23,23,23,1.0,23,1.0,1.0
2,38,2200,2224,25,25,0,0.0,0,0.0,0.07769793310156739
2,75,2200,2224,24,24,24,1.0,24,1.0,1.0
2,113,2200,2224,25,0,25,1.0,0,,
2,14,2225,2249,25,25,25,1.0,25,1.0,1.0
2,38,2225,2249,24,24,0,0.0,0,0.0,0.09410534280203542
2,75,2225,2249,21,21,21,1.0,21,1.0,1.0
2,113,2225,2249,25,0,25,1.0,0,,
3,14,2250,2274,25,25,0,0.0,0,0.0,0.16986737481951267
3,38,2250,2274,23,23,0,0.0,0,0.0,0.07556277569066584
3,75,2250,2274,24,9,8,0.3333333333333333,8,0.8888888888888888,0.9425724553894388
3,113,2250,2274,20,18,3,0.15,2,0.1111111111111111,0.3137515967178325
3,14,2275,2299,25,25,0,0.0,0,0.0,0.16101175145263596
3,38,2275,2299,22,22,0,0.0,0,0.0,0.09628138107040228
3,75,2275,2299,25,0,0,0.0,0,,
3,113,2275,2299,19,19,0,0.0,0,0.0,0.2487359481832776
3,14,2300,2324,23,23,0,0.0,0,0.0,0.2175453876748101
3,38,2300,2324,18,18,0,0.0,0,0.0,0.10665127672009495
3,75,2300,2324,25,15,0,0.0,0,0.0,0.05470647593392171
3,113,2300,2324,13,13,0,0.0,0,0.0,0.31349545219827785
3,14,2325,2349,23,19,18,0.782608695652174,14,0.7368421052631579,0.5763321888395868
3,38,2325,2349,21,21,0,0.0,0,0.0,0.12764406645217435
3,75,2325,2349,22,22,0,0.0,0,0.0,0.0956724496479743
3,113,2325,2349,25,25,0,0.0,0,0.0,0.32884139530327167
3,14,2350,2374,25,0,25,1.0,0,,
3,38,2350,2374,16,16,0,0.0,0,0.0,0.10087883796242102
3,75,2350,2374,21,21,0,0.0,0,0.0,0.1809992001088077
3,113,2350,2374,20,20,0,0.0,0,0.0,0.3376032361559429
3,14,2375,2399,25,4,21,0.84,0,0.0,0.1872141895902039
3,38,2375,2399,22,22,0,0.0,0,0.0,0.06940757598722613
3,75,2375,2399,20,11,7,0.35,7,0.6363636363636364,0.677065030985665
3,113,2375,2399,18,18,0,0.0,0,0.0,0.32124582566093135
3,14,2400,2424,25,14,11,0.44,0,0.0,0.19165398783757404
3,38,2400,2424,25,25,0,0.0,0,0.0,0.12318773204121097
3,75,2400,2424,25,0,0,0.0,0,,
3,113,2400,2424,25,25,0,0.0,0,0.0,0.24827071933125533
3,14,2425,2449,25,0,25,1.0,0,,
3,38,2425,2449,24,24,0,0.0,0,0.0,0.14356937281604046
3,75,2425,2449,18,12,2,0.1111111111111111,1,0.08333333333333333,0.2705300594601318
3,113,2425,2449,25,25,0,0.0,0,0.0,0.3051213326982183
3,14,2450,2474,25,0,25,1.0,0,,
3,38,2450,2474,22,22,0,0.0,0,0.0,0.1236851801996503
3,75,2450,2474,24,24,0,0.0,0,0.0,0.26347988600500194
3,113,2450,2474,25,25,0,0.0,0,0.0,0.33534209526408515
3,14,2475,2499,25,0,25,1.0,0,,
3,38,2475,2499,25,25,0,0.0,0,0.0,0.1300616432248813
3,75,2475,2499,25,25,0,0.0,0,0.0,0.17050587035433068
3,113,2475,2499,25,25,0,0.0,0,0.0,0.3720969951480006
3,14,2500,2524,25,0,25,1.0,0,,
3,38,2500,2524,24,24,0,0.0,0,0.0,0.14703082197598297
3,75,2500,2524,25,25,0,0.0,0,0.0,0.1894404313368864
3,113,2500,2524,25,25,0,0.0,0,0.0,0.35293216929212895
3,14,2525,2549,25,2,25,1.0,2,1.0,1.0
3,38,2525,2549,21,21,0,0.0,0,0.0,0.07959829426030181
3,75,2525,2549,24,24,0,0.0,0,0.0,0.25467836066869576
