video_frame,gt_frame,gt_id,reason,detail
930,918,75,small_disconnected_regions,
932,920,38,small_disconnected_regions,
932,920,75,small_disconnected_regions,
934,922,75,tiny_target_region,
939,927,38,small_disconnected_regions,
939,927,75,small_disconnected_regions,
941,929,38,small_disconnected_regions,
942,930,75,small_disconnected_regions,
943,931,75,small_disconnected_regions,
950,938,75,small_disconnected_regions,
969,957,75,small_disconnected_regions,
984,972,113,small_disconnected_regions,
986,974,113,small_disconnected_regions,
987,975,14,small_disconnected_regions,
987,975,38,small_disconnected_regions,
987,975,75,small_disconnected_regions,
987,975,113,small_disconnected_regions,
988,976,38,small_disconnected_regions,
989,977,38,small_disconnected_regions,
990,978,14,small_disconnected_regions,
990,978,75,small_disconnected_regions,
990,978,113,small_disconnected_regions,
991,979,14,small_disconnected_regions,
991,979,113,small_disconnected_regions,
992,980,38,small_disconnected_regions,
1024,1012,38,small_disconnected_regions,
1025,1013,38,small_disconnected_regions,
1052,1040,14,small_disconnected_regions,
1054,1042,38,small_disconnected_regions,
1059,1047,38,small_disconnected_regions,
1077,1065,14,small_disconnected_regions,
1077,1065,75,multiple_substantial_regions,
1078,1066,75,multiple_substantial_regions,
1078,1066,75,area_change,
1079,1067,75,small_disconnected_regions,
1080,1068,14,small_disconnected_regions,
1080,1068,75,multiple_substantial_regions,
1082,1070,14,area_change,
1082,1070,75,area_change,
1083,1071,113,small_disconnected_regions,
1084,1072,14,small_disconnected_regions,
1084,1072,75,area_change,
1085,1073,75,area_change,
1086,1074,14,small_disconnected_regions,
1089,1077,75,small_disconnected_regions,
1091,1079,75,area_change,
1092,1080,75,small_disconnected_regions,
1092,1080,75,area_change,
1093,1081,14,small_disconnected_regions,
1096,1084,75,small_disconnected_regions,
1096,1084,113,small_disconnected_regions,
1097,1085,75,multiple_substantial_regions,
1098,1086,75,small_disconnected_regions,
1099,1087,75,small_disconnected_regions,
1099,1087,75,area_change,
1103,1091,14,small_disconnected_regions,
1107,1095,38,small_disconnected_regions,
1114,1102,113,small_disconnected_regions,
1116,1104,113,small_disconnected_regions,
1127,1115,113,small_disconnected_regions,
1129,1117,14,small_disconnected_regions,
1146,1134,113,small_disconnected_regions,
1148,1136,14,small_disconnected_regions,
1151,1139,14,small_disconnected_regions,
1153,1141,38,small_disconnected_regions,
1156,1144,14,small_disconnected_regions,
1158,1146,38,small_disconnected_regions,
1164,1152,113,small_disconnected_regions,
1174,1162,113,small_disconnected_regions,
1188,1176,14,small_disconnected_regions,
1200,1188,14,small_disconnected_regions,
1200,1188,113,small_disconnected_regions,
1201,1189,75,small_disconnected_regions,
1202,1190,75,multiple_substantial_regions,
1204,1192,38,small_disconnected_regions,
1232,1220,75,small_disconnected_regions,
1246,1234,75,small_disconnected_regions,
1249,1237,75,small_disconnected_regions,
1255,1243,113,small_disconnected_regions,
1258,1246,113,small_disconnected_regions,
1260,1248,113,small_disconnected_regions,
1261,1249,75,small_disconnected_regions,
1261,1249,113,small_disconnected_regions,
1262,1250,14,small_disconnected_regions,
1262,1250,113,small_disconnected_regions,
1263,1251,113,small_disconnected_regions,
1264,1252,75,small_disconnected_regions,
1265,1253,113,small_disconnected_regions,
1266,1254,113,small_disconnected_regions,
1268,1256,113,small_disconnected_regions,
1269,1257,113,small_disconnected_regions,
1270,1258,113,small_disconnected_regions,
1270,1258,113,source_correspondence_uncertain,
1271,1259,113,small_disconnected_regions,
1273,1261,113,small_disconnected_regions,
1274,1262,113,small_disconnected_regions,
1276,1264,113,small_disconnected_regions,
1292,1280,38,small_disconnected_regions,
1294,1282,14,small_disconnected_regions,
1300,1288,14,small_disconnected_regions,
1301,1289,14,small_disconnected_regions,
1302,1290,14,small_disconnected_regions,
1304,1292,113,small_disconnected_regions,
1306,1294,113,small_disconnected_regions,
1307,1295,14,small_disconnected_regions,
1316,1304,14,small_disconnected_regions,
1326,1314,14,small_disconnected_regions,
1327,1315,14,small_disconnected_regions,
1328,1316,14,small_disconnected_regions,
1328,1316,113,small_disconnected_regions,
1329,1317,14,small_disconnected_regions,
1329,1317,113,small_disconnected_regions,
1330,1318,14,small_disconnected_regions,
1330,1318,113,small_disconnected_regions,
1335,1323,113,small_disconnected_regions,
1336,1324,113,small_disconnected_regions,
1337,1325,113,small_disconnected_regions,
1338,1326,113,small_disconnected_regions,
1342,1330,113,small_disconnected_regions,
1343,1331,113,small_disconnected_regions,
1344,1332,113,small_disconnected_regions,
1345,1333,14,small_disconnected_regions,
1345,1333,113,small_disconnected_regions,
1348,1336,38,small_disconnected_regions,
1349,1337,113,small_disconnected_regions,
1350,1338,113,small_disconnected_regions,
1351,1339,113,small_disconnected_regions,
1352,1340,113,small_disconnected_regions,
1353,1341,75,small_disconnected_regions,
1353,1341,113,small_disconnected_regions,
1354,1342,113,small_disconnected_regions,
1355,1343,113,small_disconnected_regions,
1356,1344,113,small_disconnected_regions,
1388,1376,75,small_disconnected_regions,
1392,1380,38,small_disconnected_regions,
1399,1387,75,small_disconnected_regions,
1400,1388,75,small_disconnected_regions,
1401,1389,75,small_disconnected_regions,
1404,1392,75,small_disconnected_regions,
1405,1393,75,small_disconnected_regions,
1415,1403,75,small_disconnected_regions,
1420,1408,75,small_disconnected_regions,
1420,1408,113,small_disconnected_regions,
1433,1421,113,small_disconnected_regions,
1435,1423,113,small_disconnected_regions,
1437,1425,75,small_disconnected_regions,
1438,1426,75,multiple_substantial_regions,
1439,1427,75,multiple_substantial_regions,
1440,1428,75,multiple_substantial_regions,
