abs_frame,sam2_label,gt_id,block_id,direction,foreground_logit_score
462,3,75,0,later,0.9882825613021851
462,4,113,0,later,0.9879650473594666
463,1,14,0,later,0.9794776439666748
463,2,38,0,later,0.9903199076652527
463,3,75,0,later,0.9896882176399231
463,4,113,0,later,0.9886241555213928
464,1,14,0,later,0.9760560989379883
464,2,38,0,later,0.9875292778015137
464,3,75,0,later,0.9886982440948486
464,4,113,0,later,0.9904370903968811
465,1,14,0,later,0.9787105321884155
465,2,38,0,later,0.9906196594238281
465,3,75,0,later,0.9892969727516174
465,4,113,0,later,0.9890359044075012
466,1,14,0,later,0.9790008068084717
466,2,38,0,later,0.9816464185714722
466,3,75,0,later,0.9919882416725159
466,4,113,0,later,0.9900673031806946
467,1,14,0,later,0.9739201068878174
467,2,38,0,later,0.9890707731246948
467,3,75,0,later,0.989372968673706
467,4,113,0,later,0.9905756711959839
468,1,14,0,later,0.9727728962898254
468,2,38,0,later,0.9890919327735901
468,3,75,0,later,0.9907166361808777
468,4,113,0,later,0.9887732863426208
469,1,14,0,later,0.9788261651992798
469,2,38,0,later,0.9858965277671814
469,3,75,0,later,0.9906140565872192
469,4,113,0,later,0.989853024482727
470,1,14,0,later,0.9827121496200562
470,2,38,0,later,0.9808392524719238
470,3,75,0,later,0.9877361059188843
470,4,113,0,later,0.9896203875541687
471,1,14,0,later,0.9780279397964478
471,2,38,0,later,0.9867764115333557
471,3,75,0,later,0.9909985661506653
471,4,113,0,later,0.9882030487060547
472,1,14,0,later,0.9811488389968872
472,2,38,0,later,0.9806541800498962
472,3,75,0,later,0.9882632493972778
472,4,113,0,later,0.9882304072380066
473,1,14,0,later,0.97960364818573
473,2,38,0,later,0.9850136041641235
473,3,75,0,later,0.9894934296607971
473,4,113,0,later,0.9891083836555481
474,1,14,0,later,0.9790894389152527
474,2,38,0,later,0.9849745035171509
474,3,75,0,later,0.9904252886772156
474,4,113,0,later,0.9840391278266907
475,1,14,0,later,0.977034866809845
475,2,38,0,later,0.9873723983764648
475,3,75,0,later,0.9886075854301453
475,4,113,0,later,0.9849593639373779
476,1,14,0,later,0.9760491847991943
476,2,38,0,later,0.9857341051101685
476,3,75,0,later,0.9878631234169006
476,4,113,0,later,0.9835290908813477
477,1,14,0,later,0.9778214693069458
477,2,38,0,later,0.9873698949813843
477,3,75,0,later,0.98830246925354
477,4,113,0,later,0.9782382845878601
478,1,14,0,later,0.9770686626434326
478,2,38,0,later,0.9840054512023926
478,3,75,0,later,0.9876933097839355
478,4,113,0,later,0.9788683652877808
479,1,14,0,later,0.9807910919189453
479,2,38,0,later,0.9885927438735962
479,3,75,0,later,0.9873527884483337
479,4,113,0,later,0.9803416132926941
480,1,14,0,later,0.9809409976005554
480,2,38,0,later,0.9877038598060608
480,3,75,0,later,0.9875556230545044
480,4,113,0,later,0.9768189787864685
481,1,14,0,later,0.9798370599746704
481,2,38,0,later,0.9854745864868164
481,3,75,0,later,0.9879490733146667
481,4,113,0,later,0.9777429699897766
482,1,14,0,later,0.9794175624847412
482,2,38,0,later,0.9865432381629944
482,3,75,0,later,0.989806056022644
482,4,113,0,later,0.9785807132720947
483,1,14,0,later,0.9790319204330444
483,2,38,0,later,0.9896277189254761
483,3,75,0,later,0.9915552139282227
483,4,113,0,later,0.9763060808181763
484,1,14,0,later,0.9775898456573486
484,2,38,0,later,0.9892624616622925
484,3,75,0,later,0.9894000291824341
484,4,113,0,later,0.9794809818267822
485,1,14,0,later,0.9754700660705566
485,2,38,0,later,0.9886403679847717
485,3,75,0,later,0.9907793998718262
485,4,113,0,later,0.9838823080062866
486,1,14,0,later,0.9755647778511047
486,2,38,0,later,0.9854410290718079
486,3,75,0,later,0.9898972511291504
486,4,113,0,later,0.9782447814941406
487,1,14,0,later,0.9758433103561401
487,2,38,0,later,0.9853570461273193
487,3,75,0,later,0.9884110689163208
487,4,113,0,later,0.9789007902145386
488,1,14,0,later,0.9753844141960144
488,2,38,0,later,0.9851069450378418
488,3,75,0,later,0.9896029233932495
