event_id,gt_id,reason,start,end,length,decision,notes
GT00457,27,unexpected_label,1588,1600,13,unreviewed,
GT00458,57,unexpected_label,1588,1600,13,unreviewed,
GT00459,59,unexpected_label,1588,1600,13,unreviewed,
GT00460,27,unexpected_label,1603,1615,13,unreviewed,
GT00461,57,unexpected_label,1603,1615,13,unreviewed,
GT00462,59,unexpected_label,1603,1615,13,unreviewed,
GT00463,24,unexpected_label,150,161,12,unreviewed,
GT00464,46,unexpected_label,150,161,12,unreviewed,
GT00465,22,unexpected_label,289,300,12,unreviewed,
GT00466,66,unexpected_label,289,300,12,unreviewed,
GT00467,15,unexpected_label,1437,1448,12,unreviewed,
GT00468,46,unexpected_label,1548,1559,12,unreviewed,
GT00469,22,unexpected_label,170,180,11,unreviewed,
GT00470,45,unexpected_label,170,180,11,unreviewed,
GT00471,22,unexpected_label,560,570,11,unreviewed,
GT00472,29,unexpected_label,560,570,11,unreviewed,
GT00473,66,unexpected_label,560,570,11,unreviewed,
GT00474,17,unexpected_label,618,628,11,unreviewed,
GT00475,22,unexpected_label,675,685,11,unreviewed,
GT00476,63,unexpected_label,776,786,11,unreviewed,
GT00477,27,unexpected_label,782,792,11,unreviewed,
GT00478,15,unexpected_label,980,990,11,unreviewed,
GT00479,18,unexpected_label,980,990,11,unreviewed,
GT00480,25,unexpected_label,980,990,11,unreviewed,
GT00481,41,unexpected_label,980,990,11,unreviewed,
GT00482,48,unexpected_label,980,990,11,unreviewed,
GT00483,60,unexpected_label,980,990,11,unreviewed,
GT00484,71,unexpected_label,980,990,11,unreviewed,
GT00485,22,unexpected_label,1621,1631,11,unreviewed,
GT00486,45,unexpected_label,1621,1631,11,unreviewed,
GT00487,46,unexpected_label,1881,1891,11,unreviewed,
GT00488,27,unexpected_label,1902,1912,11,unreviewed,
